id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
23625655;Diversos;Diversos;Y;other;Y;Y;Y;Diversos:0;
23677364;Gê Fritas;Entradas;Y;other;Y;Y;Y;Único:16;Porção de 230g (peso in natura) de batata crocante com nosso tempero especial.
23677365;Ge Amazônico;Hambúrgueres;Y;other;Y;Y;N;Único:39;Hambúrguer 130g, queijo coalho, geleia de cupuaçu, bacon em cubos, e maionese levemente apimentada no pão brioche de fermentação natural.
23677366;Ge Onion;Hambúrgueres;N;other;Y;Y;Y;Único:38;Smash burger 130g ( duas carnes, 65g cada), queijo cheddar, onion rings, fatias de bacon e molho barbecue no pão brioche de fermentação natural.
23677367;Ge Salad;Hambúrgueres;Y;other;Y;Y;Y;Único:32;Smash burger 130g (duas carnes, 65g cada), queijo cheddar, tomate, cebola roxa, alface e molho rosé no pão brioche de fermentação natural.
23677368;Ge Burger;Hambúrgueres;Y;other;Y;Y;Y;Único:26;Hambúrguer 130g, queijo cheddar e molho rosé no pão brioche de fermentação natural.
23677369;Gê Balls;Entradas;Y;other;Y;Y;Y;Único:21;Porção de 05 bolinhas empanadas de frango desfiado com Catupiry Original e toque de cebolinha verde.
23677370;Ge Bacon;Hambúrgueres;Y;other;Y;Y;Y;Único:34;Hambúrguer 130g, queijo cheddar, fatias de bacon e molho mostarda e mel no pão brioche de fermentação natural.
23677371;Fritas Melted- Grande;Entradas;Y;other;Y;Y;Y;Único:28;Porção de 250g (peso in natura) de batata-frita crocante, com queijo cheddar cremoso e farofa de bacon.
23677372;Ge Chicken;Hambúrgueres;N;other;Y;Y;N;Único:27;Frango empanado crocante, creme de cheddar, alface, tomate e maionese levemente apimentada no pão brioche de fermentação natural.
23677373;Ge Cream;Hambúrgueres;N;other;Y;Y;Y;Único:45;Smash burger de 130g (duas carnes, 65g cada), queijo cheddar, Catupiry Original empanado no panko, alface e tomate, e maionese no pão brioche de fermentação natural.
23677374;Onion Rings;Entradas;N;other;Y;Y;Y;Único:14;Porção de 6 unidades de Anéis de cebola empanadas.
23677375;Ge Box;Mais Pedidos;Y;other;Y;Y;Y;Único:59.9;Caixa com 6 mini burgers com smash de 40g cada nos sabores burger, classic, salad e bacon + 3 molhos para acompanhar.
23677377;Ge Rib;Hambúrgueres;Y;other;Y;Y;Y;Único:39;Hambúrguer 130g, queijo mussarela, costela bovina desfiada, cebola caramelizada e maionese no pão brioche de fermentação natural.
23677379;Combo Kids;Combo Kids;Y;other;Y;Y;Y;Único:40;Burger (Smash burger 65g, queijo cheddar e molho rosé no pão brioche), porção de batatas com carinhas e suco Kapo de Morango 200ml
23677385;Ultra Egg Bacon;Ultra Smash;Y;other;Y;Y;Y;Único:31;Smash Burger de 100g ( duas carnes, 50g cada), creme de cheddar, ovo frito, fatias de bacon e maionese no pão brioche de fermentação natural.
23677407;Ultra Salad;Ultra Smash;Y;other;Y;Y;Y;Único:28;Smash burger 100g (duas carnes, 50g cada), creme de cheddar, tomate, cebola roxa, alface e molho rosé no pão brioche de fermentação natural.
23677426;Ultra Burger;Ultra Smash;Y;other;Y;Y;Y;Único:23;Smash burger de 100g ( duas carnes, 50g cada), creme de cheddar e molho rosê no pão brioche de fermentação natural.
23677427;Fanta Laranja de 1l;Bebidas;N;other;Y;Y;Y;Único:11;
