id|id_parent|depth|dre_section|cashier|path
945323|945316|0||N|/Alimentação
1665262|945323|1||N|/Alimentação/Água
945268|945264|0||N|/Aluguel
945277|945275|0||N|/Assessoria financeira
945363|945360|0||N|/Bebidas
968728|945360|0||N|/Brindes
945349|945347|0||N|/Capitalização dos sócios
945265|945264|0||N|/Celular
965890|945368|0||N|/Comissão entregadores
968776|945357|0||N|/Comissão funcionários
945361|945360|0||N|/Congelados
1007993||0|3|Y|/Consumo
945271|945264|0||N|/Contador
945327|945275|0||N|/Controle de pragas
945368|945356|0||N|/Custo com frete
965890|945368|1||N|/Custo com frete/Comissão entregadores
945369|945368|1||N|/Custo com frete/Delivery compras
945365|945356|0||N|/Custos com embalagens
945367|945365|1||N|/Custos com embalagens/Descartáveis
945366|945365|1||N|/Custos com embalagens/Embalagens
945360|945356|0||N|/Custos com produtos
945363|945360|1||N|/Custos com produtos/Bebidas
968728|945360|1||N|/Custos com produtos/Brindes
945361|945360|1||N|/Custos com produtos/Congelados
982316|945360|1||N|/Custos com produtos/Decoração
1025587|945360|1||N|/Custos com produtos/Equipamentos de loja
1589050|945360|1||N|/Custos com produtos/Gráfica
945364|945360|1||N|/Custos com produtos/Hortifruti
945362|945360|1||N|/Custos com produtos/Insumos
1665263|945362|2||N|/Custos com produtos/Insumos/Pão
945357|945356|0||N|/Custos tributários ou financeiros
968776|945357|1||N|/Custos tributários ou financeiros/Comissão funcionários
945358|945357|1||N|/Custos tributários ou financeiros/Simples nacional
945359|945357|1||N|/Custos tributários ou financeiros/Taxas de pix
945356||0||N|/Custos variáveis
945368|945356|1||N|/Custos variáveis/Custo com frete
965890|945368|2||N|/Custos variáveis/Custo com frete/Comissão entregadores
945369|945368|2||N|/Custos variáveis/Custo com frete/Delivery compras
945365|945356|1||N|/Custos variáveis/Custos com embalagens
945367|945365|2||N|/Custos variáveis/Custos com embalagens/Descartáveis
945366|945365|2||N|/Custos variáveis/Custos com embalagens/Embalagens
945360|945356|1||N|/Custos variáveis/Custos com produtos
945363|945360|2||N|/Custos variáveis/Custos com produtos/Bebidas
968728|945360|2||N|/Custos variáveis/Custos com produtos/Brindes
945361|945360|2||N|/Custos variáveis/Custos com produtos/Congelados
982316|945360|2||N|/Custos variáveis/Custos com produtos/Decoração
1025587|945360|2||N|/Custos variáveis/Custos com produtos/Equipamentos de loja
1589050|945360|2||N|/Custos variáveis/Custos com produtos/Gráfica
945364|945360|2||N|/Custos variáveis/Custos com produtos/Hortifruti
945362|945360|2||N|/Custos variáveis/Custos com produtos/Insumos
1665263|945362|3||N|/Custos variáveis/Custos com produtos/Insumos/Pão
945357|945356|1||N|/Custos variáveis/Custos tributários ou financeiros
968776|945357|2||N|/Custos variáveis/Custos tributários ou financeiros/Comissão funcionários
945358|945357|2||N|/Custos variáveis/Custos tributários ou financeiros/Simples nacional
945359|945357|2||N|/Custos variáveis/Custos tributários ou financeiros/Taxas de pix
998254|945356|1||N|/Custos variáveis/Manutenção de loja
1040044|945356|1||N|/Custos variáveis/Manutenção de Rede Elétrica
982316|945360|0||N|/Decoração
945369|945368|0||N|/Delivery compras
945367|945365|0||N|/Descartáveis
1258778|945339|0||N|/Design
945264|945263|0||N|/Despesas administrativas
945268|945264|1||N|/Despesas administrativas/Aluguel
945265|945264|1||N|/Despesas administrativas/Celular
945271|945264|1||N|/Despesas administrativas/Contador
945267|945264|1||N|/Despesas administrativas/Energia elétrica
968777|945264|1||N|/Despesas administrativas/Gás
945266|945264|1||N|/Despesas administrativas/Internet
945270|945264|1||N|/Despesas administrativas/IPTU
945272|945264|1||N|/Despesas administrativas/Mensalidade de softwares
968775|945264|1||N|/Despesas administrativas/Recursos Humanos
945345|945264|1||N|/Despesas administrativas/Seguro
945275|945264|1||N|/Despesas administrativas/Serviços
945277|945275|2||N|/Despesas administrativas/Serviços/Assessoria financeira
945327|945275|2||N|/Despesas administrativas/Serviços/Controle de pragas
1142344|945275|2||N|/Despesas administrativas/Serviços/Gestor de estoque
945276|945275|2||N|/Despesas administrativas/Serviços/Gestor de tráfego
945278|945275|2||N|/Despesas administrativas/Serviços/Gestor ifood
967269|945264|1||N|/Despesas administrativas/Transporte Funcionários
945269|945264|1||N|/Despesas administrativas/Água
945325|945263|0||N|/Despesas com materiais e equipamentos
945331|945325|1||N|/Despesas com materiais e equipamentos/Manutenção ar condicionado
967274|945325|1||N|/Despesas com materiais e equipamentos/Manutenção máquinas e equipamentos
945330|945325|1||N|/Despesas com materiais e equipamentos/Manutenção móveis
945329|945325|1||N|/Despesas com materiais e equipamentos/Materiais de Copa e Cozinha
945326|945325|1||N|/Despesas com materiais e equipamentos/Materiais de expediente / escritório
945328|945325|1||N|/Despesas com materiais e equipamentos/Materiais de limpeza
945316|945263|0||N|/Despesas com pessoal
945323|945316|1||N|/Despesas com pessoal/Alimentação
