categoria;total
Insumos;-67417.04
Salário de funcionários;-58433.39
Aluguel;-24500.00
Facebook;-15031.46
Bebidas;-14312.89
Comissão entregadores;-13456.22
Energia elétrica;-9951.43
Social Midia;-9700.00
Embalagens;-9602.71
Alimentação;-8762.48
Transporte Funcionários;-6722.27
Entregadores;-6310.00
Gestor de tráfego;-5600.00
Saídas não operacionais;-5355.00
Congelados;-4846.80
Diarista;-4390.97
Delivery compras;-3923.03
Contador;-3500.00
Mensalidade de softwares;-2874.03
Simples nacional;-2479.40
Hortifruti;-2216.07
Assessoria financeira;-2100.00
Gás;-2014.49
Descartáveis;-1972.22
Comissão funcionários;-1468.56
Materiais de limpeza;-1269.86
Manutenção ar condicionado;-1150.00
Pão;-1114.00
Manutenção de loja;-890.00
Internet;-861.67
Materiais de Copa e Cozinha;-822.80
Design;-683.50
IPTU;-662.98
Materiais de expediente / escritório;-652.88
Brindes;-529.07
Gestor de estoque;-450.00
Manutenção máquinas e equipamentos;-450.00
Celular;-286.14
Controle de pragas;-250.00
Manutenção de Rede Elétrica;-230.00
Equipamentos de loja;-107.47
Recursos Humanos;-107.27
Juros bancários e por atraso;-85.30
Decoração;-78.00
Água;-74.00
Gráfica;-66.00
Custos tributários ou financeiros;-30.00
Uniforme;-10.00
Receita em pix;-7.00
(sem categoria);0.00
Frente de Caixa;12943.33
