nome,unidade,estoque_saipos,tipo
Queijo Cheddar Vigor,Fatia (FT),-4202.14,ingrediente
Brioche 70g,Unidade (UN),-4126,ingrediente
Blend 130g,Unidade (UN),-3016.5,beneficiado
Blend 40g,Unidade (UN),-2357,beneficiado
Brioche 20g,Unidade (UN),-2310,ingrediente
Blend 100g,Unidade (UN),-1063.5,beneficiado
Caixa Box,Unidade (UN),-1056,ingrediente
Costela Desfiada,Unidade (UN),-504,beneficiado
Coca-Cola Zero 350ml,Unidade (UN),-473,ingrediente
Coca-Cola 350ml,Unidade (UN),-438,ingrediente
Batata Palito,Quilograma (KG),-307.71,ingrediente
Coca-Cola 1L,Unidade (UN),-277,ingrediente
Ovo,Unidade (UN),-252.58,ingrediente
Ge Balls Receita,Porção (PÇ),-149,beneficiado
Guaraná Antártica 350ml,Unidade (UN),-144,ingrediente
FRANGO EMPANADO,Unidade (UN),-135,beneficiado
Sprite Sem Açúcar 350ml,Unidade (UN),-126,ingrediente
Água Sem Gás 500ml,Unidade (UN),-124,ingrediente
Fanta Uva 350ml,Unidade (UN),-117,ingrediente
Coca-Cola Sem Açúcar 1,5L,Unidade (UN),-112,ingrediente
Schweppes Citrus 350ml,Unidade (UN),-102,ingrediente
Guaraná Antártica Zero 350ml,Unidade (UN),-92,ingrediente
Água Mineral 20L,Litro (L),-76.01,ingrediente
Carne Bovina Moída,Quilograma (KG),-72.39,ingrediente
Bacon Fatiado,Quilograma (KG),-58.92,ingrediente
Creme de Cheddar,Quilograma (KG),-58.48,beneficiado
Molho Rosé,Quilograma (KG),-57.42,beneficiado
Coca Cola Sem Açúcar KS,Unidade (UN),-56,ingrediente
Suco de Morango Receita,Litro (L),-55.9,beneficiado
Pepsi 350ml,Unidade (UN),-51,ingrediente
Suco de Maracujá Receita,Litro (L),-44.3,beneficiado
Coca Cola Original 1,5L,Unidade (UN),-44,ingrediente
Molho Maionese Caseira,Quilograma (KG),-42.89,beneficiado
Tomate,Quilograma (KG),-42.44,ingrediente
Coca Zero 1L,Unidade (UN),-38,ingrediente
Coca Cola Original KS,Unidade (UN),-37,ingrediente
Cebola Caramelizada,Quilograma (KG),-32.72,beneficiado
Salsicha,Unidade (UN),-32,ingrediente
Guaraná Antártica 1L,Unidade (UN),-30,ingrediente
Fanta Laranja 1L,Unidade (UN),-27,ingrediente
Água Com Gás,Unidade (UN),-23,ingrediente
Queijo Mussarela,Quilograma (KG),-19.87,ingrediente
Queijo Coalho,Quilograma (KG),-18.57,ingrediente
Cerveja Long Neck Heineken,Unidade (UN),-18,ingrediente
Cebola Roxa,Quilograma (KG),-17.86,ingrediente
Bacon em cubos,Quilograma (KG),-17.84,ingrediente
Sorvete de Creme,Quilograma (KG),-16.14,ingrediente
Pão Hot Dog,Unidade (UN),-16,ingrediente
Geleia de Cupuaçu,Quilograma (KG),-13.57,beneficiado
Pepsi Black 1L,Unidade (UN),-13,ingrediente
Banana Pacovã,Quilograma (KG),-12.93,ingrediente
Molho Honey Mustard,Quilograma (KG),-10.72,beneficiado
Catupiry Sabor Cheddar,Quilograma (KG),-10.67,ingrediente
Pão Brioche de Forma,Unidade (UN),-6,ingrediente
Leite Integral,Litro (L),-4.58,ingrediente
Fanta Uva 1,5L,Unidade (UN),-2,ingrediente
Fanta Laranja Sem Açúcar 350ml,Unidade (UN),-2,ingrediente
Ketchup Cepera,Quilograma (KG),-1.56,ingrediente
Costela Bovina,Quilograma (KG),-1.37,ingrediente
Cebola Branca,Quilograma (KG),-1,ingrediente
Catupiry Empanado,Unidade (UN),-1,beneficiado
Mostarda Cepera,Quilograma (KG),-0.92,ingrediente
Oreo,Quilograma (KG),-0.83,ingrediente
Peito de Frango,Quilograma (KG),-0.82,ingrediente
Nutella,Quilograma (KG),-0.72,ingrediente
Catupiry Original,Quilograma (KG),-0.67,ingrediente
Onion Rings,Quilograma (KG),-0.48,ingrediente
Ovomaltine,Quilograma (KG),-0.44,ingrediente
Molho de Tomate,Quilograma (KG),-0.32,ingrediente
Acém,Quilograma (KG),-0.3,ingrediente
Peito,Quilograma (KG),-0.3,ingrediente
Batata Palha,Quilograma (KG),-0.24,ingrediente
Pimenta Malagueta,Quilograma (KG),-0.17,ingrediente
Mel,Quilograma (KG),-0.16,ingrediente
Calda de Chocolate,Quilograma (KG),-0.15,ingrediente
Trigo,Quilograma (KG),-0.13,ingrediente
Orégano,Quilograma (KG),-0.03,ingrediente
