id,nome,tipo,grupo_id,categoria_financeira_id,unidade_id,estoque_atual,custo_medio,controla_estoque,compoe_cmv,yield
3811842,Pepsi Black 350ml,ingredient,352014,945363,1,6,2.96,Y,Y,0
3811844,Pepsi Black 1L,ingredient,352014,945363,1,-13,4.11,Y,Y,0
3811852,Guaraná Antártica 350ml,ingredient,352014,945363,1,-143,3.06,Y,Y,0
3811854,Guaraná Antártica Zero 350ml,ingredient,352014,945363,1,-92,3.06,Y,Y,0
3811855,Guaraná Antártica 1L,ingredient,352014,945363,1,-29,4.11,Y,Y,0
3811859,Coca Cola Original KS,ingredient,352014,945363,1,-36,2.93,Y,Y,0
3811860,Sprite Sem Açúcar 350ml,ingredient,352014,945363,1,-126,2.93,Y,Y,0
3811862,"Fanta Uva 1,5L",ingredient,352014,945363,1,-2,5.77,Y,Y,0
3811864,Fanta Uva 350ml,ingredient,352014,945363,1,-116,2.98,Y,Y,0
3811865,Schweppes Citrus 350ml,ingredient,352014,945363,1,-101,3.48,Y,Y,0
3811867,"Coca-Cola Sem Açúcar 1,5L",ingredient,352014,945363,1,-112,6.77,Y,Y,0
3811868,Água Sem Gás 500ml,ingredient,352014,945363,1,-124,1.39,Y,Y,0
3811879,Água Com Gás,ingredient,352014,945363,1,-22,1.68,Y,Y,0
3811880,Coca-Cola 350ml,ingredient,352014,945363,1,-437,3.48,Y,Y,0
3811897,Coca-Cola Zero 350ml,ingredient,352014,945363,1,-471,3.4,Y,Y,0
3811899,Coca-Cola 1L,ingredient,352014,945363,1,-275,5.77,Y,Y,0
3811900,Coca Cola Sem Açúcar KS,ingredient,352014,945363,1,-55,2.85,Y,Y,0
3811903,Morango Congelado,ingredient,352014,945363,4,1.846,21.56,Y,Y,0
3811904,Maracujá Polpa,ingredient,352014,945363,4,0.821,31,Y,Y,0
3811905,Bacon Fatiado,ingredient,352015,945362,4,-58.388,50,Y,Y,0
3811906,Costela Bovina,ingredient,352015,945362,4,-1.369,66.49,Y,N,0
3811907,Bacon em cubos,ingredient,352015,945362,4,-17.667,45,Y,Y,0
3811911,Peito de Frango,ingredient,352015,945362,4,-0.819,20,Y,Y,0
3811914,Ovo,ingredient,352015,945362,1,-251.583,0.8,Y,Y,0
3811916,Acém,ingredient,352015,945362,4,-0.298,33.99,Y,N,0
3811918,Peito,ingredient,352015,945362,4,-0.298,33.99,Y,N,0
3811922,Gordura de Peito,ingredient,352015,945362,4,0.105,33.99,Y,N,0
3811923,Batata Palito,ingredient,352016,945361,4,-304.67,18.9,Y,Y,0
