id,name,adset_id,campaign_id,creative_id,status,effective_status,objective,created_time,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,purchase_roas,video_thruplay_watched_actions,video_p25_watched_actions,video_p100_watched_actions,results.indicator,results.value
120233532890840690,AD - Foodporn Teste,120233532890850690,120233532885890690,1716215502428045,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2025-10-08T15:47:07-0300,"R$4.999,96 BRL",701482,233860,2.999581,"R$7,13 BRL",10330,"1,47%",0.749556,5258,"R$0,95 BRL",338,actions:onsite_conversion.messaging_conversation_started_7d,1100,"R$4,55 BRL (Messaging conversations started)",45,0.395923,16,4,,,
120205274749820690,AD - DUPLA RIB E ONION,120205274749630690,120205274749610690,120206480046520690,ACTIVE,ADSET_PAUSED,OUTCOME_ENGAGEMENT,2024-02-10T12:26:54-0300,"R$2.892,90 BRL",573445,108368,5.291645,"R$5,04 BRL",8055,"1,40%",0.570761,3273,"R$0,88 BRL",234,actions:onsite_conversion.messaging_conversation_started_7d,824,"R$3,51 BRL (Messaging conversations started)",69,40.276505,,,,,
120211872965360690,AD - GÊ BOX INSTA,120211840912890690,120211840808940690,120211873541330690,PAUSED,PAUSED,OUTCOME_SALES,2024-09-18T17:16:10-0300,"R$2.798,94 BRL",458562,134749,3.403083,"R$6,10 BRL",9630,"2,10%",0.719859,3301,"R$0,85 BRL",2559,actions:offsite_conversion.fb_pixel_purchase,436,"R$6,42 BRL (Website purchases)",436,512.54222,16480,49248,12081,,
120239568773450690,AD - Novo 04,120239568773410690,120239568773420690,860671539839540,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2026-01-23T12:57:41-0300,"R$2.736,57 BRL",399905,81441,4.910365,"R$6,84 BRL",4796,"1,20%",0.544879,2179,"R$1,26 BRL",1784,actions:offsite_conversion.fb_pixel_purchase,272,"R$10,06 BRL (Website purchases)",272,4.503565,5572,19384,3218,,
120209458911190690,AD  GÊ BOX,120205274749630690,120205274749610690,120209459176560690,ACTIVE,ADSET_PAUSED,OUTCOME_ENGAGEMENT,2024-05-21T12:20:57-0300,"R$2.357,92 BRL",367217,71412,5.142231,"R$6,42 BRL",3834,"1,04%",0.402214,1477,"R$1,60 BRL",101,actions:onsite_conversion.messaging_conversation_started_7d,430,"R$5,48 BRL (Messaging conversations started)",107,129.935324,68,8,,,
120212788305800690,POST 17/09/24,120212788305810690,120212332355730690,120212788303150690,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2024-10-21T09:57:58-0300,"R$2.325,82 BRL",343284,128260,2.67647,"R$6,78 BRL",7243,"2,11%",0.802834,2756,"R$0,84 BRL",2187,actions:offsite_conversion.fb_pixel_purchase,304,"R$7,65 BRL (Website purchases)",304,434.922875,12982,38838,9513,,
120224524065080690,AD - GÊ BOX (2),120224523597450690,120224523597420690,9843620785733095,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-05-23T17:57:50-0300,"R$2.229,49 BRL",149231,60260,2.476452,"R$14,94 BRL",2146,"1,44%",0.59371,886,"R$2,52 BRL",135,actions:onsite_conversion.messaging_conversation_started_7d,441,"R$5,06 BRL (Messaging conversations started)",14,0.537881,4163,11379,1884,,
120241298805830690,AD - Foodporn Teste,120241298805840690,120233532885890690,911501264761813,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2026-02-25T17:00:41-0300,"R$2.093,89 BRL",293477,117692,2.493602,"R$7,13 BRL",4477,"1,53%",0.778937,2286,"R$0,92 BRL",110,actions:onsite_conversion.messaging_conversation_started_7d,446,"R$4,69 BRL (Messaging conversations started)",12,0.232295,1,,,,
120212330841200690,POST - 23/08/24,120212330723260690,120212330723240690,120212331065100690,PAUSED,PAUSED,OUTCOME_AWARENESS,2024-10-04T16:27:47-0300,"R$2.055,99 BRL",2479228,345408,7.17768,"R$0,83 BRL",3609,"0,15%",0.088374,2191,"R$0,94 BRL",551,reach,345408,"R$5,95 BRL (Reach)",3,0.099709,,,,,
120229845917970690,AD - Video Cupom,120229845840460690,120229845840390690,841850545041237,PAUSED,PAUSED,OUTCOME_SALES,2025-08-05T14:27:27-0300,"R$1.651,44 BRL",139747,60829,2.297375,"R$11,82 BRL",2299,"1,65%",0.708423,990,"R$1,67 BRL",88,actions:onsite_conversion.messaging_conversation_started_7d,354,"R$4,67 BRL (Messaging conversations started)",27,1.409982,4935,12556,2259,,
120229155767860690,AD - Parceria,120229155767870690,120227813792370690,1482031489480671,ACTIVE,ADSET_PAUSED,OUTCOME_ENGAGEMENT,2025-07-28T15:04:47-0300,"R$1.587,36 BRL",412131,187730,2.195339,"R$3,85 BRL",2290,"0,56%",0.118894,490,"R$3,24 BRL",27,video_thruplay_watched_actions,46527,"R$0,03 BRL (video_thruplay_watched_actions)",3,0.137461,46527,55411,11437,,
120233927941930690,AD - Novo 04,120233927906850690,120233532885890690,843961327975056,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2025-10-14T14:43:39-0300,"R$1.577,05 BRL",138910,57703,2.407327,"R$11,35 BRL",1696,"1,22%",0.517601,719,"R$2,19 BRL",106,actions:onsite_conversion.messaging_conversation_started_7d,247,"R$6,38 BRL (Messaging conversations started)",32,0.769411,2640,8519,1558,,
120246128291470690,ADReels - Imã,120246128291460690,120246128288360690,2073714156860826,ACTIVE,ACTIVE,OUTCOME_SALES,2026-05-20T20:35:50-0300,"R$1.526,24 BRL",154515,26313,5.872192,"R$9,88 BRL",1217,"0,79%",0.449147,694,"R$2,20 BRL",477,actions:offsite_conversion.fb_pixel_purchase,109,"R$14,00 BRL (Website purchases)",109,3.126199,2354,12802,2391,,
120229845840400690,AD - GÊ BOX (2),120229845840460690,120229845840390690,9843620785733095,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-08-05T14:27:27-0300,"R$1.505,63 BRL",87635,42587,2.057788,"R$17,18 BRL",1214,"1,39%",0.550009,482,"R$3,12 BRL",48,actions:onsite_conversion.messaging_conversation_started_7d,219,"R$6,88 BRL (Messaging conversations started)",11,0.381767,2123,5930,987,,
120213290074540690,POST - 17/10/24,120212327930300690,120212327930110690,120213290122770690,PAUSED,PAUSED,OUTCOME_ENGAGEMENT,2024-11-12T13:02:13-0300,"R$1.499,72 BRL",501700,191246,2.623323,"R$2,99 BRL",21214,"4,23%",0.160056,803,"R$1,87 BRL",145,actions:post_engagement,39007,"R$0,04 BRL (Post engagements)",,,,,,,
120233772359430690,AD - Novo 04,120233757591150690,120233757591140690,706314742036956,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-10-11T23:13:03-0300,"R$1.454,07 BRL",202575,55675,3.638527,"R$7,18 BRL",2555,"1,26%",0.482784,978,"R$1,49 BRL",768,actions:offsite_conversion.fb_pixel_purchase,145,"R$10,03 BRL (Website purchases)",145,4.44112,3026,10485,1787,,
120241299170820690,AD - Reels Manaus em Dobro,120241299170810690,120241299170800690,1616380796340748,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,2026-02-25T17:21:43-0300,"R$1.356,14 BRL",1187340,336917,3.524132,"R$1,14 BRL",3297,"0,28%",0.047754,567,"R$2,39 BRL",4,actions:post_engagement,103168,"R$0,01 BRL (Post engagements)",,,9927,22636,3167,,
120212332355810690,POST 17/09/24,120212332355760690,120212332355730690,120212788303150690,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2024-10-21T09:55:46-0300,"R$1.320,80 BRL",132799,21261,6.246131,"R$9,95 BRL",2015,"1,52%",0.690517,917,"R$1,44 BRL",671,actions:offsite_conversion.fb_pixel_purchase,230,"R$5,74 BRL (Website purchases)",230,598.102741,2778,7636,2085,,
120211840912900690,AD - GÊ BOX VÍDEO NOVO,120211840912890690,120211840808940690,120210346106340690,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2024-09-17T12:58:38-0300,"R$1.211,62 BRL",205618,72867,2.821826,"R$5,89 BRL",3541,"1,72%",0.684765,1408,"R$0,86 BRL",957,actions:offsite_conversion.fb_pixel_purchase,204,"R$5,94 BRL (Website purchases)",204,542.114425,8124,22970,3518,,
120248211605390690,ADI - FoodPorn,120247411476940690,120247411302050690,873801395774735,ACTIVE,ACTIVE,OUTCOME_ENGAGEMENT,2026-06-15T19:26:14-0300,"R$1.208,75 BRL",120731,41934,2.879072,"R$10,01 BRL",2296,"1,90%",0.974895,1177,"R$1,03 BRL",67,actions:onsite_conversion.messaging_conversation_started_7d,364,"R$3,32 BRL (Messaging conversations started)",14,0.457828,,,,,
120227744207830690,AD - GÊ BOX cupom,120227744207850690,120227744207810690,1101805265195499,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-07-08T16:33:51-0300,"R$1.207,29 BRL",244519,55176,4.431619,"R$4,94 BRL",3261,"1,33%",0.552922,1352,"R$0,89 BRL",1110,actions:offsite_conversion.fb_pixel_purchase,83,"R$14,55 BRL (Website purchases)",83,5.856928,50,7,,,
120225240640430690,AD - Gê Amazônico Quarta,120225240581770690,120225170496270690,1706317750348080,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_AWARENESS,2025-06-04T17:24:53-0300,"R$1.134,00 BRL",922712,401816,2.296355,"R$1,23 BRL",1905,"0,21%",0.140672,1298,"R$0,87 BRL",370,reach,401816,"R$2,82 BRL (Reach)",1,0.081129,5,,,,
