id,name,campaign_id,status,effective_status,delivery.status,delivery.substatuses,optimization_goal,bid_strategy,daily_budget,lifetime_budget,start_time,created_time,updated_time,attribution_setting,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,omni_purchase_values,purchase_roas,end_time,results.indicator,results.value
120205274749630690,[P. FRIO][21 a 43],120205274749610690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$30,00 BRL","R$0,00 BRL",2024-02-10T12:22:44-0300,2024-02-10T12:22:44-0300,2024-10-07T12:29:47-0300,1d_view_7d_click,"R$5.780,39 BRL",1003791,150739,6.659133,"R$5,76 BRL",12735,"1,27%",0.504786,5067,"R$1,14 BRL",346,actions:onsite_conversion.messaging_conversation_started_7d,1357,"R$4,26 BRL (Messaging conversations started)",195,"R$487.151,17 BRL",84.276523,,,
120233532890850690,ADV,120233532885890690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$0,00 BRL","R$5.000,00 BRL",2025-10-08T15:47:07-0300,2025-10-08T15:47:07-0300,2026-02-25T17:01:01-0300,1d_view_7d_click,"R$4.999,96 BRL",701482,233860,2.999581,"R$7,13 BRL",10330,"1,47%",0.749556,5258,"R$0,95 BRL",338,actions:onsite_conversion.messaging_conversation_started_7d,1100,"R$4,55 BRL (Messaging conversations started)",45,"R$1.979,60 BRL",0.395923,2026-02-22T23:45:00-0300,,
120212327930300690,00 - FRIO - EX. SEGUIDORES,120212327930110690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",POST_ENGAGEMENT,Highest volume,"R$10,00 BRL","R$0,00 BRL",2024-10-04T15:44:07-0300,2024-10-04T15:44:07-0300,2025-04-23T22:02:06-0300,1d_view_7d_click,"R$4.484,67 BRL",1579725,469821,3.362398,"R$2,84 BRL",49269,"3,12%",0.083875,1325,"R$3,38 BRL",225,actions:post_engagement,283679,"R$0,02 BRL (Post engagements)",,,,,,
120212330723260690,QUENTE 30D,120212330723240690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",IMPRESSIONS,Highest volume,"R$10,00 BRL","R$0,00 BRL",2024-10-04T16:27:45-0300,2024-10-04T16:27:45-0300,2025-04-15T13:32:14-0300,1d_view_7d_click,"R$4.315,72 BRL",4645935,550962,8.432406,"R$0,93 BRL",7739,"0,17%",0.075485,3507,"R$1,23 BRL",1042,reach,550962,"R$7,83 BRL (Reach)",9,"R$22.024,80 BRL",5.103389,,,
120211840912890690,[P. FRIO] [GEOLOCALIZAÇÃO] [21 a 43],120211840808940690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,Highest volume,"R$40,00 BRL","R$0,00 BRL",2024-09-17T17:30:00-0300,2024-09-17T12:58:37-0300,2024-11-12T13:11:08-0300,1d_view_7d_click,"R$4.321,73 BRL",709037,156410,4.533195,"R$6,10 BRL",13644,"1,92%",0.690514,4896,"R$0,88 BRL",3622,actions:offsite_conversion.fb_pixel_purchase,688,"R$6,28 BRL (Website purchases)",688,"R$2.174.803,95 BRL",503.225317,,,
120239568773410690,ADV,120239568773420690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2026-01-23T12:57:41-0300,2026-01-23T12:57:40-0300,2026-04-03T23:29:26-0300,1d_view_7d_click_1d_ev,"R$3.597,66 BRL",519282,89041,5.831943,"R$6,93 BRL",5968,"1,15%",0.543828,2824,"R$1,27 BRL",2234,actions:offsite_conversion.fb_pixel_purchase,362,"R$9,94 BRL (Website purchases)",362,"R$16.232,87 BRL",4.512063,2026-05-03T23:45:00-0300,,
120212788305810690,FRIO GERAL 5 KM,120212332355730690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$4.500,00 BRL",2024-10-21T09:57:56-0300,2024-10-21T09:57:56-0300,2025-05-19T10:45:26-0300,1d_view_7d_click,"R$3.203,97 BRL",486084,148878,3.264982,"R$6,59 BRL",9130,"1,88%",0.728681,3542,"R$0,90 BRL",2735,actions:offsite_conversion.fb_pixel_purchase,408,"R$7,85 BRL (Website purchases)",408,"R$1.272.330,20 BRL",397.110522,2025-06-30T23:55:00-0300,,
120229845840460690,[P. ADV][RAIO 5km],120229845840390690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",CONVERSATIONS,,,,2025-08-05T14:27:25-0300,2025-08-05T14:27:24-0300,2025-10-01T17:19:33-0300,1d_view_7d_click,"R$3.157,07 BRL",227382,83862,2.711383,"R$13,88 BRL",3513,"1,54%",0.647369,1472,"R$2,14 BRL",136,actions:onsite_conversion.messaging_conversation_started_7d,573,"R$5,51 BRL (Messaging conversations started)",38,"R$2.903,30 BRL",0.919619,2025-11-02T23:30:00-0300,,
120224523597450690,[P. FRIO][RAIO 5km],120224523597420690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",CONVERSATIONS,,,,2025-05-23T17:49:43-0300,2025-05-23T17:49:43-0300,2025-07-01T16:41:28-0300,1d_view_7d_click,"R$2.478,47 BRL",162620,62910,2.584963,"R$15,24 BRL",2410,"1,48%",0.590948,961,"R$2,58 BRL",143,actions:onsite_conversion.messaging_conversation_started_7d,481,"R$5,15 BRL (Messaging conversations started)",16,"R$1.386,20 BRL",0.559297,2025-07-31T23:00:00-0300,,
120233927906850690,ADV — Novos VD,120233532885890690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$0,00 BRL","R$3.459,49 BRL",2025-10-14T13:36:24-0300,2025-10-14T13:36:23-0300,2025-12-19T13:19:30-0300,1d_view_7d_click,"R$2.252,64 BRL",206155,86712,2.377468,"R$10,93 BRL",2657,"1,29%",0.57093,1177,"R$1,91 BRL",138,actions:onsite_conversion.messaging_conversation_started_7d,354,"R$6,36 BRL (Messaging conversations started)",40,"R$1.579,20 BRL",0.701044,2026-01-04T23:45:00-0300,,
