date_start,date_stop,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,outbound_clicks,landing_page_view,actions:omni_purchase,omni_purchase_values,purchase_roas,omni_add_to_cart,omni_initiated_checkout,omni_view_content,post_engagement,video_thruplay_watched_actions,3_second_video_plays,id,name
2023-07-01,2023-07-01,"R$0,00 BRL",0,0,0,,0,,,123,"R$0,00 BRL",118,39,,,,,,,,1608,4842,708536560751820,Gê Burger -> Digital Livre
2023-07-02,2023-07-02,"R$0,00 BRL",0,0,0,,0,,,201,"R$0,00 BRL",86,54,,,,,,,,1839,5492,708536560751820,Gê Burger -> Digital Livre
2023-07-03,2023-07-03,"R$28,02 BRL",17460,15983,1.092411,"R$1,60 BRL",102,"0,58%",0.063001,11,"R$2,55 BRL",4,2,,,,,,,,1809,5210,708536560751820,Gê Burger -> Digital Livre
2023-07-04,2023-07-04,"R$156,80 BRL",44365,37556,1.181303,"R$3,53 BRL",465,"1,05%",0.329088,146,"R$1,07 BRL",68,35,,,,,,,,1709,4817,708536560751820,Gê Burger -> Digital Livre
2023-07-05,2023-07-05,"R$117,79 BRL",36963,30116,1.227354,"R$3,19 BRL",289,"0,78%",0.192084,71,"R$1,66 BRL",53,37,,,,,,,,1622,4509,708536560751820,Gê Burger -> Digital Livre
2023-07-06,2023-07-06,"R$119,93 BRL",34418,28879,1.1918,"R$3,48 BRL",246,"0,71%",0.212098,73,"R$1,64 BRL",57,41,,,,,,,,1425,4320,708536560751820,Gê Burger -> Digital Livre
2023-07-07,2023-07-07,"R$115,87 BRL",33280,27259,1.220881,"R$3,48 BRL",250,"0,75%",0.243389,81,"R$1,43 BRL",55,45,,,,,,,,1386,4339,708536560751820,Gê Burger -> Digital Livre
2023-07-08,2023-07-08,"R$36,94 BRL",16342,15158,1.078111,"R$2,26 BRL",129,"0,79%",0.23253,38,"R$0,97 BRL",9,4,,,,,,,,1486,4583,708536560751820,Gê Burger -> Digital Livre
2023-07-09,2023-07-09,"R$39,69 BRL",19375,17781,1.089646,"R$2,05 BRL",148,"0,76%",0.154839,30,"R$1,32 BRL",4,6,,,,,,,,1726,5267,708536560751820,Gê Burger -> Digital Livre
2023-07-10,2023-07-10,"R$21,37 BRL",14307,13979,1.023464,"R$1,49 BRL",82,"0,57%",0.076885,11,"R$1,94 BRL",5,1,,,,,,,,1624,4931,708536560751820,Gê Burger -> Digital Livre
2023-07-11,2023-07-11,"R$36,49 BRL",16987,15874,1.070115,"R$2,15 BRL",153,"0,90%",0.188379,32,"R$1,14 BRL",3,3,,,,,,,,1597,4589,708536560751820,Gê Burger -> Digital Livre
2023-07-12,2023-07-12,"R$38,97 BRL",16572,15843,1.046014,"R$2,35 BRL",144,"0,87%",0.259474,43,"R$0,91 BRL",8,9,,,,,,,,1414,4324,708536560751820,Gê Burger -> Digital Livre
2023-07-13,2023-07-13,"R$20,54 BRL",12577,12114,1.03822,"R$1,63 BRL",62,"0,49%",0.063608,8,"R$2,57 BRL",1,2,,,,,,,,1441,4317,708536560751820,Gê Burger -> Digital Livre
2023-07-14,2023-07-14,"R$19,45 BRL",11628,11561,1.005795,"R$1,67 BRL",54,"0,46%",0.0344,4,"R$4,86 BRL",2,,,,,,,,,1415,4137,708536560751820,Gê Burger -> Digital Livre
